,AÑO,CODDEPTO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
229,2017,97,VAUPÉS,12668,66.5,65.38,78.29,8.0,80.89,11.12,3.16
230,2017,99,VICHADA,22282,77.9,77.93,92.69,8.65,76.3,15.05,11.73
231,2018,05,ANTIOQUIA,1147598,84.72,94.11,108.39,3.97,89.13,6.91,3.13
232,2018,08,ATLÁNTICO,521630,92.53,91.34,99.81,1.55,93.57,4.88,0.74
233,2018,11,"BOGOTÁ, D.C.",1179282,78.71,96.51,105.2,1.65,98.02,0.33,0.33
234,2018,13,BOLÍVAR,455784,92.71,98.6,112.48,2.75,90.31,6.93,3.82
235,2018,15,BOYACÁ,234116,83.54,96.54,106.84,2.07,92.59,5.34,1.69
236,2018,17,CALDAS,162391,74.38,87.08,99.49,2.96,90.77,6.27,3.35
237,2018,18,CAQUETÁ,98639,73.14,92.04,107.89,5.5,92.62,1.88,2.52
238,2018,19,CAUCA,301714,83.72,83.17,100.03,2.58,90.33,7.09,0.97
239,2018,20,CESAR,288411,101.41,90.73,101.99,3.98,90.35,5.68,1.24
240,2018,23,CÓRDOBA,386239,87.95,94.72,108.32,2.23,93.81,3.96,2.89
241,2018,25,CUNDINAMARCA,547875,92.49,97.91,108.72,2.89,92.11,5.0,2.11
242,2018,27,CHOCÓ,143975,79.81,80.95,98.11,3.16,87.71,9.13,1.29
243,2018,41,HUILA,242238,85.04,94.28,106.28,4.21,86.1,9.69,2.63
244,2018,44,LA GUAJIRA,237991,77.72,90.55,103.72,2.77,93.01,4.22,4.75
245,2018,47,MAGDALENA,317652,95.21,97.69,115.66,3.26,93.58,3.15,1.7
246,2018,50,META,218707,90.3,92.51,104.13,4.47,89.65,5.88,0.89
247,2018,52,NARIÑO,314579,67.88,84.54,98.98,1.34,95.42,3.24,2.94
248,2018,54,NORTE DE SANTANDER,307526,93.58,91.62,106.28,3.95,90.55,5.5,1.41
249,2018,63,QUINDIO,83383,76.15,98.35,110.83,4.17,89.17,6.67,1.08
250,2018,66,RISARALDA,157477,86.17,98.4,114.09,4.23,88.74,7.04,0.76
251,2018,68,SANTANDER,401463,97.79,96.06,108.08,3.2,89.46,7.34,1.73
252,2018,70,SUCRE,201443,98.08,95.99,110.42,2.78,87.36,9.86,1.28
253,2018,73,TOLIMA,255496,83.88,98.54,110.66,3.02,90.56,6.42,0.84
254,2018,76,VALLE DEL CAUCA,861316,79.27,80.36,91.87,3.26,89.22,7.52,1.1
255,2018,81,ARAUCA,60962,77.02,94.93,112.21,2.63,97.29,0.08,4.46
256,2018,85,CASANARE,92859,96.81,93.05,104.3,2.69,90.77,6.54,2.0
257,2018,86,PUTUMAYO,80972,75.0,84.28,96.55,5.21,86.88,7.9,2.15
258,2018,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",10853,67.34,93.4,99.93,1.97,93.79,4.25,2.31
259,2018,91,AMAZONAS,22257,81.13,81.46,95.04,4.87,91.17,3.96,4.12
260,2018,94,GUAINÍA,15766,81.64,62.28,77.05,7.14,77.64,15.22,5.08
261,2018,95,GUAVIARE,21118,55.7,84.61,105.08,3.36,87.78,8.86,3.46
262,2018,97,VAUPÉS,15363,61.64,50.79,59.79,3.88,85.38,10.74,2.26
263,2018,99,VICHADA,32951,78.13,53.74,61.92,7.14,75.25,17.6,5.62
264,2019,05,ANTIOQUIA,1149985,94.0,93.83,107.57,4.02,88.38,7.59,3.19
265,2019,08,ATLÁNTICO,533666,92.07,91.69,100.2,1.26,92.91,5.83,1.0
266,2019,11,"BOGOTÁ, D.C.",1181531,96.82,96.3,104.93,1.6,97.5,0.9,2.62
267,2019,13,BOLÍVAR,461988,99.44,99.33,112.39,2.99,90.5,6.51,3.59
268,2019,15,BOYACÁ,234368,96.6,96.51,108.44,2.05,92.02,5.93,1.92
269,2019,17,CALDAS,161892,85.98,85.88,97.69,3.31,89.01,7.68,3.67
270,2019,18,CAQUETÁ,98675,90.52,90.49,105.49,5.32,92.63,2.05,2.6
271,2019,19,CAUCA,299016,84.42,84.39,100.7,2.78,90.65,6.56,1.3
272,2019,20,CESAR,296234,90.77,90.57,102.06,4.11,89.08,6.81,1.07
273,2019,23,CÓRDOBA,387454,94.23,94.16,107.57,2.64,93.6,3.76,3.42
274,2019,25,CUNDINAMARCA,570377,96.14,95.86,106.07,3.02,91.68,5.3,1.74
275,2019,27,CHOCÓ,143999,82.64,82.64,103.24,2.8,88.46,8.74,1.08
276,2019,41,HUILA,242194,94.2,94.12,105.3,4.48,85.86,9.67,2.84
277,2019,44,LA GUAJIRA,245778,92.92,92.86,103.71,2.51,93.27,4.21,3.59
278,2019,47,MAGDALENA,323546,97.49,97.27,114.32,3.5,93.68,2.83,1.53
279,2019,50,META,218194,93.59,93.51,107.15,3.97,90.99,5.04,1.03
280,2019,52,NARIÑO,309763,84.0,83.95,98.35,1.45,95.85,2.7,3.23
281,2019,54,NORTE DE SANTANDER,318252,92.25,92.18,106.49,3.25,90.56,6.19,1.37
282,2019,63,QUINDIO,83130,96.77,96.73,109.23,3.94,88.13,7.93,1.04
283,2019,66,RISARALDA,156174,99.14,98.88,114.85,4.99,88.6,6.41,1.16
284,2019,68,SANTANDER,405798,96.38,96.2,106.83,3.01,89.53,7.47,1.91
